Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2021)","FOB (BAHT)(Feb 2021)","Quantity (Jan - Feb 2021)","FOB (BAHT)(Jan - Feb 2021)"
2564,2,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",608492,20023451,1395826,46101462
2564,2,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",12600,374398,14640,470165
2564,2,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",451619,19996230,509664,23173450
2564,2,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",111500,3846718,115982,4240276
2564,2,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",860974,18672811,1747206,37777132
2564,2,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",52208,1003820,167202,2983191
2564,2,2,CA,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1272250,17576984,1572550,22487688
2564,2,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",188,28160,188,28160
2564,2,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",21004,1879659,65644,4157159
2564,2,2,HK,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2400,128161,4900,261916
2564,2,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",900,64259,900,64259
2564,2,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1222500,17192212,2601150,37457975
2564,2,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",51033,2138133,95949,4246027
2564,2,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",78200,2715119,357721,11500826
2564,2,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",28200,1593723,48600,2746629
2564,2,2,AU,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",65766,4358188,151253,9616798
2564,2,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",214543,10634234,279939,14234549
2564,2,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",52535,3939434,62038,4532855
2564,2,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",17492,1276378,33638,2406626
2564,2,2,CA,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",76863,3378390,235763,10184118
2564,2,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",265517,11900279,450583,21096984
2564,2,2,CH,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",59094,4025841,79198,5524718
2564,2,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",26977,1510317,53587,3055523
2564,2,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",3000,187422,3000,187422
2564,2,2,AU,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",139682,8143229,216567,13106680
2564,2,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",112685,6180437,203341,11094769
2564,2,2,HK,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",696,38813,13306,674410
2564,2,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",1104,55406,1104,55406
2564,2,2,HK,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",6900,690131,9900,973586
2564,2,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",8792,956978,8792,956978
2564,2,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",10506503,248641894,22658015,524387373
2564,2,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,2,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,2,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",4590,110160,390945,11061659
2564,2,2,IT,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,2040,80201
2564,2,2,KR,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",0,0,1,388
2564,2,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",97458082,2743739299,193646790,5462552763
2564,2,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",30847,857558,35847,1017020
2564,2,2,VN,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,6920,184136
2564,2,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",22045,524664,101190,2558074
2564,2,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1374985,60481474,2211170,97540448
2564,2,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,2700,237083
2564,2,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",84837107,1273749435,189949318,2799453649
2564,2,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",851084,15875802,1334084,24051090
2564,2,2,BJ,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",3984168,57175296,15184168,214186746
2564,2,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",56945,1051706,56945,1051706
2564,2,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",1499050,19399320,1499050,19399320
2564,2,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",21585493,505253455,44548419,1020764011
2564,2,2,CA,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",396396,10491610,1162905,26014369
2564,2,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",795500,19855612,946000,23619201
2564,2,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",55816,1296245,593740,13224158
2564,2,2,ID,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",2,27,4,72
2564,2,2,AU,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",41141161,612472641,107570194,1575837611
2564,2,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",69105734,1021183359,115993445,1684822652
2564,2,2,AU,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",870400,13527792,1420600,21518208
2564,2,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",554272,9934904,1660824,29691954
2564,2,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",297487,6175308,462270,9489097
2564,2,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",200000,2736963,400000,5419503
2564,2,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",517000,9395445,1652000,29895054
2564,2,2,HK,10063099,090,KGM,"Other (KGM)",5732,1374006,11531,2679573
2564,2,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",547600,13905097,1087560,27084607
2564,2,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",5778911,86844376,43340653,648250088
2564,2,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",13560,499594,53638,2343363
2564,2,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",2,90,2,90
2564,2,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",20000,410544,40000,809944
2564,2,2,BE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",7778514,129186088,9972628,166495826
2564,2,2,HK,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",132000,1777415,140500,1910033
2564,2,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",15083157,202760771,34801642,462706874
2564,2,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",11915960,153451268,16803305,209167181
2564,2,2,NC,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",24500,532072,24500,532072
2564,2,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",35814393,479219608,45944187,611880477
2564,2,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",4150220,77517399,5838320,109151220
2564,2,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,1124535,236000,5430906
2564,2,2,LA,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2679000,25390305,4882000,56548370
2564,2,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",2003700,34630543,2556700,43810792
